category,title,content,news_category,author,publication_date,word_count,source_age,readability_index,article_id
Real_Estate,,,,Julie Senger,2024-07-29T11:11:59.035Z,961,4,6.8651302417274565,ZXhZdmh9m8
Investigative,,,,Meredith Hills,2024-09-11T18:40:54.033Z,357,5,3.088718987768516,AO5KWcMiYw
Opinion,,,,Mercedes Stamm,2024-07-20T04:40:25.657Z,354,1,73.30405492056161,dkJW0Gdbyl
Local_News,,,,Dwayne Green,2025-02-12T17:56:24.258Z,2442,3,82.52133787120692,Cx5roZHGFz
World_News,,,,Jerome Davis,2024-06-28T14:47:03.648Z,3757,1,95.26333089964464,2VPvTwx055
Politics,,,,Adrienne Hirthe,2024-10-28T10:52:20.633Z,4731,1,92.72925700922497,QvaUCLJQks
Business,,,,Noel Padberg,2024-10-30T08:00:30.610Z,2055,2,39.03588396916166,8CD3OLOTEl
Technology,,,,Gwen Medhurst,2024-05-19T17:25:45.195Z,3488,4,72.03611450991593,QZ6inxvPpr
Health,,,,Christopher Schulist,2024-08-27T09:02:07.008Z,1303,4,50.47902080672793,TLVx5HZGa1
Environment,,,,Greg Von,2025-01-26T16:54:58.880Z,107,5,77.02792630158365,x3DI7DMw51
Science,,,,Julius Gerlach,2025-01-15T10:33:45.757Z,3399,5,69.7792221463751,DxelYLxjy5
Sports,,,,Robin Rowe,2024-07-21T22:40:00.673Z,620,4,49.17195320059545,92aL9K7UoG
Education,,,,Neil Parisian,2024-03-14T17:21:01.493Z,1153,3,88.22077593347058,gcDSS56XO6
Entertainment,,,,Opal Hermann,2024-05-14T21:00:53.717Z,1275,1,92.85965365660377,i0mekdHCGN
Travel,,,,Billie Kris,2024-06-24T14:16:55.438Z,3975,1,74.54331899643876,NpUsILpoWk
Crime,,,,Jean Senger,2024-09-04T15:34:48.394Z,707,1,49.93078491999768,3xtmRCrX5e
Weather,,,,Alexandra Hickle,2024-11-03T17:25:17.696Z,405,3,27.410668540978804,tioieYhqkU
Arts_Culture,,,,Erik Steuber,2024-03-04T02:07:46.361Z,2609,5,33.070042507955804,rBRh7TSGR4
Food_Drink,,,,Molly Fadel,2024-03-22T18:11:21.810Z,4040,2,78.76461153989658,qqijodRpHO
Fashion,,,,Heather Cummerata,2024-08-30T01:00:06.066Z,957,5,94.94973041838966,i3DgsIGTWR
Real_Estate,,,,Troy Bosco,2024-07-25T14:56:49.718Z,1600,4,91.82452618470415,ZnUstsgtN3
Investigative,,,,Lawrence Medhurst,2024-04-07T18:47:35.102Z,2173,3,62.271720270393416,r9clJtMHvm
Opinion,,,,Sheldon Kub,2025-01-24T20:40:54.553Z,1820,2,94.44349051313475,D7TOto8rm8
Local_News,,,,Forrest Wintheiser,2024-09-22T17:51:47.443Z,3074,3,40.15505286981352,d7M5mrxCQk
World_News,,,,Mindy Wintheiser,2024-03-28T15:22:16.420Z,4654,3,21.273777219234034,lL6x7YI5Yj
Politics,,,,Darryl O'Conner,2025-02-15T08:07:45.095Z,2401,4,27.48152290796861,5SA1JROu8e
Business,,,,Lionel Heller,2024-11-08T03:35:18.896Z,4421,1,97.1739215767011,BvswmINe9Y
Technology,,,,Earl Bednar,2024-06-05T00:12:17.386Z,1070,5,30.138046785490587,5k7fZytvKt
Health,,,,Leon Bins,2024-04-30T03:01:04.618Z,4795,5,34.957588529447094,6nwl5RehgP
Environment,,,,Constance Rau,2024-11-28T23:02:15.404Z,3685,5,39.105649397009984,kDMxgcWzoc
Science,,,,Wade Littel,2024-05-10T21:51:59.433Z,2935,3,42.48932470660657,JjMuBW5lLC
Sports,,,,Dustin Wintheiser,2025-02-01T18:51:24.402Z,1004,5,15.035388296237215,PRvmZ0p1d0
Education,,,,Mr. Cesar Simonis,2024-12-29T17:55:39.249Z,2810,1,10.570547513430938,ahyUq81c7J
Entertainment,,,,Christian Runolfsson,2024-09-25T07:10:33.576Z,3781,2,37.53644047235139,oLkhD2R9Qy
Travel,,,,Lucy Dickens,2025-02-16T04:04:29.845Z,1301,1,60.83954069786705,whyQXZ5tJ8
Crime,,,,Lucia Beatty-O'Conner,2024-11-09T06:48:09.488Z,4969,3,2.2072371360845864,TOkSoqt6oH
Weather,,,,Rene Hartmann,2024-03-27T02:57:08.519Z,3892,5,4.284528232878074,U32b3NGigD
Arts_Culture,,,,Dr. Ada Watsica,2024-05-09T21:55:50.540Z,4013,1,27.315703076310456,zuzw3qa0HV
Food_Drink,,,,Mr. Cody Farrell,2024-09-04T03:13:09.154Z,1494,1,12.301191078033298,2C5l5BV8p6
Fashion,,,,Dexter Pagac,2024-10-31T00:15:20.849Z,3324,4,61.20952327246778,g6qRsetUX2
Real_Estate,,,,Dr. Alexander Kovacek,2025-02-01T18:15:27.691Z,3013,3,65.77226291573606,YinJmH292Z
Investigative,,,,Sonya Brakus,2024-11-09T04:55:29.814Z,189,2,51.08205728721805,3JrmzBmcYA
Opinion,,,,Lila Beatty-Rogahn II,2024-05-04T13:40:54.206Z,3776,4,54.03012395533733,MggO5wY2Lv
Local_News,,,,Courtney O'Connell,2024-03-07T18:29:54.831Z,2228,4,1.169567592209205,mfnotIGGV3
World_News,,,,Scott Bauch,2024-11-03T07:19:26.238Z,2624,4,19.061741878278553,pKEiSg9k8u
Politics,,,,Angela Hessel III,2024-12-07T10:39:39.078Z,4909,2,15.103869872167706,qoa92LyWhG
Business,,,,Abraham Jacobson,2024-07-26T21:47:42.850Z,1299,1,51.57040643086657,rz7a47EhQy
Technology,,,,Rosie Quigley,2024-11-15T20:31:48.204Z,4964,2,94.35446827462874,tbwTAVGojz
Health,,,,Jay Towne,2024-10-15T23:59:26.045Z,1914,3,58.339691563975066,enLrfkFyFY
Environment,,,,Jan Corkery Jr.,2025-02-11T09:50:59.219Z,1295,5,34.402256513014436,Pg0xP9UpCA
Science,,,,Todd Huel,2024-08-30T20:32:44.790Z,2644,4,22.426921726437286,lt6VJMUtBW
Sports,,,,Jane Kirlin Sr.,2024-03-19T16:28:50.587Z,1189,1,58.187965728575364,ssPUwPsjKg
Education,,,,Greg Lakin,2024-07-02T16:13:32.039Z,2496,3,66.52750958618708,VrFDfy5H1m
Entertainment,,,,Santiago Olson,2025-01-21T21:26:38.811Z,3010,4,66.85672074602917,Y1WnVVRDw4
Travel,,,,Rick Morissette,2024-03-13T18:57:24.920Z,3411,1,30.889427355490625,guekxqdCcI
Crime,,,,Grant Ernser,2024-09-17T15:59:51.946Z,794,4,95.49405680107884,qHofx0QCZJ
Weather,,,,Clint Reinger,2024-11-23T15:20:30.847Z,2864,5,85.50189303699881,vzwSHsv48R
Arts_Culture,,,,Constance Pouros DVM,2024-11-15T13:04:10.600Z,1727,4,16.654504964593798,IhO86skgGr
Food_Drink,,,,Geoffrey Breitenberg,2024-03-01T21:31:05.277Z,718,1,93.816763255978,Smh7PL8qvJ
Fashion,,,,Saul Cummings,2024-12-23T21:27:13.011Z,1683,2,41.52044731751084,iWW5Uv8Nv2
Real_Estate,,,,Dawn Lehner,2025-01-16T15:24:13.611Z,3191,1,21.618378697428852,f3wLhExX3k
Investigative,,,,Delbert Rohan-Hayes,2025-01-13T00:57:56.545Z,2779,4,16.66046930477023,3INmDmCPVF
Opinion,,,,Roger Nader,2024-02-29T07:44:47.072Z,1772,3,27.056019857758656,1ECGRhvnuG
Local_News,,,,Jacquelyn McClure,2024-09-15T06:07:40.870Z,3658,5,47.41363900597207,Cvpje1yvcX
World_News,,,,Edwin Cole,2024-04-09T00:13:28.262Z,3408,1,97.79018331319094,p8Z4ficqO0
Politics,,,,Mrs. Christie Mayer PhD,2024-12-14T12:54:19.953Z,2212,2,91.46371499844827,tm6Ej9wdal
Business,,,,Beulah Farrell,2024-04-01T06:24:55.348Z,592,3,98.48851081985049,Tf1iqSJYuT
Technology,,,,Lynette O'Conner,2024-06-03T22:43:30.635Z,3345,5,68.36875354289077,weCigDOJLD
Health,,,,Donna Green,2024-09-11T15:18:34.324Z,4018,5,48.59538788511418,qQtQPpHwvG
Environment,,,,Dr. Abraham Ruecker,2024-05-10T21:36:16.350Z,3136,3,37.804025172721595,fX2DLCiNhT
Science,,,,Dr. Ronnie Rau,2024-08-16T03:07:49.014Z,2388,1,5.568518060259521,boccHFR5rR
Sports,,,,Dr. Dexter Oberbrunner MD,2024-10-20T02:27:31.033Z,1236,2,67.89654862158932,BtawN5ZoAp
Education,,,,Mr. Bob Cummerata,2024-09-19T20:27:04.433Z,3397,4,50.905616806820035,YITR0pq2Np
Entertainment,,,,Kara Weber,2024-05-07T14:41:24.566Z,101,5,1.5092762894928455,zjWw8HrIjf
Travel,,,,Edith Renner,2025-02-19T14:12:06.280Z,3690,5,76.15912602003664,TPnGNF3vSc
Crime,,,,Hilda Schmitt,2024-10-01T23:48:11.698Z,1277,4,73.412890171865,WqO3zd2ADg
Weather,,,,Mrs. Brandi Haley,2025-01-18T00:01:03.477Z,3718,1,12.764155183685943,t3nK7tK4kK
Arts_Culture,,,,Essie Weber,2024-08-07T18:22:50.871Z,4708,2,3.592295023612678,z17lcGLL3t
Food_Drink,,,,Wade Crooks,2024-03-02T12:27:52.540Z,2012,4,8.92180133704096,Ee6D6Dk6Ku
Fashion,,,,Belinda Herman,2024-09-30T12:46:46.517Z,2250,4,5.883803098695353,Oq4NG8XXL8
Real_Estate,,,,Mitchell Hauck Jr.,2025-01-02T02:18:44.738Z,1868,3,91.80871367827058,jnq1e49rp6
Investigative,,,,Roger Powlowski,2024-06-07T17:00:31.222Z,2551,2,1.6510822263080627,0qofMgHmaD
Opinion,,,,Max Ward-Mertz,2024-12-20T21:06:15.630Z,2376,2,52.632351328385994,8vaLDQ6F6F
Local_News,,,,Miss Dixie Nolan,2024-03-01T22:46:55.732Z,3978,5,8.691114298300818,zodYmLgU9X
World_News,,,,Hilda Cronin,2024-03-29T02:08:24.328Z,2281,2,20.29179692477919,5EHs99S54y
Politics,,,,Lucy Botsford V,2024-03-09T18:06:55.285Z,189,5,15.395089752040803,NJZPqoTEux
Business,,,,Alonzo Yundt,2024-06-17T03:06:30.462Z,684,3,92.20224467129447,FYalQw10mR
Technology,,,,Gordon Spinka,2024-09-14T17:00:07.228Z,2985,4,37.47203164221719,07XWDl8hNc
Health,,,,Pedro Emmerich,2024-05-09T02:30:06.673Z,3024,2,95.26621524454094,w2ygmv2qeA
Environment,,,,Teri Rogahn,2025-02-09T15:39:21.316Z,3741,3,28.837797300191596,7HJLdkTGYe
Science,,,,Oscar Wiza IV,2024-04-08T22:02:30.174Z,1044,2,29.83363783848472,uVlBknDSAJ
Sports,,,,Jacqueline Gutmann,2024-06-16T08:14:14.559Z,2915,4,63.860871750162914,FxuKywrNEt
Education,,,,Ms. Henrietta Walter,2025-01-19T11:09:42.772Z,3355,3,78.81864292430691,U7i6UvpWUT
Entertainment,,,,Audrey Wolf,2025-02-19T04:26:25.608Z,4991,3,15.459627617383376,F4CENkehUb
Travel,,,,Nancy Keeling,2024-04-17T13:17:09.534Z,1923,3,13.106912735383958,ADIDRX3w7m
Crime,,,,Sarah Pfeffer,2024-08-07T00:49:02.483Z,316,3,40.163335925200954,MN6UBs1ive
Weather,,,,Mr. Aubrey Bernhard,2025-02-20T04:47:47.425Z,4927,4,28.254086366156116,kuv3zhcGWk
Arts_Culture,,,,Tami Daniel I,2025-02-05T02:08:38.751Z,2552,4,34.123417743481696,q4hedE58KT
Food_Drink,,,,Maria Bashirian,2024-11-11T13:22:36.001Z,3299,1,78.90296800923534,n8GHv0yJaG
Fashion,,,,Arlene Waelchi,2024-08-21T03:25:55.100Z,4412,5,18.108730356907472,fa8zOCwU8e
Real_Estate,,,,William Lindgren,2024-03-07T14:53:22.336Z,3817,2,64.87343124533072,vzhFcpZyVy
Investigative,,,,Brad Armstrong,2025-02-12T12:43:48.967Z,3978,1,11.590337452013046,CnNgI5joMz
Opinion,,,,Mr. Marc Lowe,2024-05-18T07:43:11.577Z,2257,5,13.862950582057238,cHzvZq4C56
Local_News,,,,Candice Wyman,2024-12-21T06:05:51.836Z,361,2,12.651264474261552,FB6s36MmDs
World_News,,,,Alberto Kiehn,2024-05-10T07:31:10.190Z,3856,2,73.52708236663602,cWMVZekQGy
Politics,,,,Harold Trantow,2025-02-12T08:36:18.005Z,4268,4,31.302483463892713,sqgEVOMrTO
Business,,,,Mr. Lawrence Little,2024-05-15T23:59:25.418Z,799,4,80.73344411840662,z2kiXGKwpy
Technology,,,,Ricardo Bechtelar,2024-10-12T19:17:32.257Z,4040,3,60.90380719280802,nrSfTJgiNa
Health,,,,Carolyn Cassin MD,2024-11-02T10:03:06.258Z,1070,1,37.21837728144601,aTIGvLYqO3
Environment,,,,Kenny Waelchi,2025-01-03T07:08:58.095Z,3751,3,82.35926347202621,lzBVNdEIBL
Science,,,,Perry Muller,2024-10-02T04:34:04.902Z,1273,5,39.76800599973649,ajCFWZOsFU
Sports,,,,Mrs. Charlotte Robel,2024-12-09T04:42:33.321Z,3328,2,70.44264018931426,SgZtr4Rqp0
Education,,,,Della Vandervort,2024-05-23T16:39:09.045Z,2455,3,57.069010111736134,xCHdRuPavi
Entertainment,,,,Geraldine Schoen,2024-07-05T19:06:49.351Z,1289,2,59.146808774676174,r2pn5BNGhH
Travel,,,,Louise Effertz,2024-05-23T23:43:55.106Z,4683,5,79.79078526375815,o5yCSBAXT5
Crime,,,,Vanessa Stoltenberg,2024-11-16T14:24:19.044Z,866,2,85.65079279849306,kyDFuitQnn
Weather,,,,Kristine Mayert,2024-11-04T22:50:19.724Z,1702,5,52.411328030982986,BTYUkaaLgV
Arts_Culture,,,,Ms. Debbie Bosco,2024-09-13T02:05:47.183Z,2732,5,16.96369939367287,70GqgmRQwA
Food_Drink,,,,Linda Bruen,2024-05-30T17:45:35.025Z,4388,2,83.07639893214218,cxJkwnLtf7
Fashion,,,,Samantha Boyle I,2024-03-14T14:19:49.338Z,2486,3,26.421579162590206,AqDS9AZe31
Real_Estate,,,,Wayne Carter,2024-07-25T05:06:35.335Z,4419,1,42.55805107601918,DnC05uMvbX
Investigative,,,,Shawn Stoltenberg,2024-12-09T18:23:42.855Z,3654,5,18.374050579266623,Xvfej16U4x
Opinion,,,,Stacy Mann PhD,2025-02-10T10:15:44.788Z,860,5,80.67385804257356,LptSpBj2Vg
Local_News,,,,Jimmie Cummings IV,2024-07-09T14:39:57.553Z,4202,3,12.324851336190477,QOdLIZVTW6
World_News,,,,Nicole Pollich V,2024-11-14T16:00:16.939Z,4230,1,84.79217449668795,sQM3kQH1FG
Politics,,,,Terri Batz,2025-01-08T08:59:43.209Z,4439,3,93.39638196770102,nF79kDiwyh
Business,,,,Bennie Schmitt-Hayes,2024-06-06T05:48:41.494Z,3668,5,50.91452991729602,BiWNXpmcPj
Technology,,,,Georgia Watsica,2024-08-18T17:02:29.877Z,780,5,2.680617112200707,QHNXz9NVie
Health,,,,Miss Debra Reinger III,2024-08-25T16:16:00.618Z,2382,3,37.784666987136006,EwbiOHen5z
Environment,,,,Abraham Christiansen,2024-04-05T11:16:31.743Z,2997,1,64.12595543102361,CafaKkshWg
Science,,,,Mr. Luis Larson,2024-08-18T01:34:51.346Z,2636,2,59.021022658096626,i6mB4epIA1
Sports,,,,Delbert Cronin,2024-07-26T19:51:54.470Z,1265,2,91.84392862673849,uN6cxGftx9
Education,,,,Lucille Krajcik,2024-05-27T02:43:02.099Z,489,1,6.294207300757989,27gVlSxmFW
Entertainment,,,,Terry Fay,2024-11-16T09:28:59.416Z,3742,5,3.146608197595924,WU65X4q00d
Travel,,,,Jordan Kilback,2024-07-07T20:02:36.231Z,2505,1,42.43629084411077,WrSbKUBlqh
Crime,,,,Shane Graham Jr.,2024-03-19T21:38:11.485Z,3736,4,4.456918303156272,UxIS3KtCGk
Weather,,,,Ginger Jacobi,2024-08-28T19:49:42.230Z,4724,5,74.19731507287361,VLjepWPGIO
Arts_Culture,,,,Adam Kassulke,2024-09-20T20:22:55.479Z,2555,5,98.94860708457418,4dQ2eOaER8
Food_Drink,,,,Dr. Curtis Stoltenberg,2024-06-29T01:03:13.341Z,4350,3,61.93413519114256,L2fPaNYdAY
Fashion,,,,Lorraine Turcotte,2024-06-01T01:15:11.521Z,345,5,95.05312770465389,pOKQi9JtDE
Real_Estate,,,,Leland Barton,2024-04-17T23:39:23.876Z,4816,4,81.96881205937825,oH6Iq4PiT1
Investigative,,,,Dr. Mindy Treutel,2024-05-12T13:25:16.585Z,3310,2,59.80729837762192,8UmO1l3gdY
Opinion,,,,Sergio Conn Jr.,2024-10-13T07:48:16.736Z,2581,5,8.306039698421955,vFqh4tmvMS
Local_News,,,,Gloria Dibbert,2025-02-11T20:15:32.008Z,2366,1,40.29912768723443,Kyq07eLMWG
World_News,,,,Philip Parker,2024-10-02T06:11:28.611Z,3937,5,68.816561589716,hX6NpvD9Dq
Politics,,,,Mr. Simon Dooley,2025-02-04T14:53:18.490Z,459,5,3.016827590763569,lxj8yC8ejH
Business,,,,Myra Jacobs,2025-02-17T15:15:29.702Z,1875,5,19.69317700737156,gk0nKGWKr1
Technology,,,,Michele Orn,2025-01-29T15:03:22.072Z,2684,2,48.469751986907795,Ob5NK0iKTA
Health,,,,Randy Swaniawski,2024-03-26T09:31:03.170Z,3760,5,78.22779695177451,Xzrg2Qsor8
Environment,,,,Joanne Lang-Weissnat,2024-03-03T10:01:31.842Z,2080,4,47.447263073408976,Tp2vMxrsoS
Science,,,,Ebony DuBuque,2024-04-23T22:48:32.179Z,2993,4,12.241446462692693,jDEhOTx5LN
Sports,,,,Dr. Jeff Dooley,2024-05-18T20:07:56.889Z,1198,2,10.054144714027643,868Zvyow7M
Education,,,,Victor Ritchie,2024-06-12T22:55:49.979Z,1617,4,92.40726416837424,sagkQTNDW6
Entertainment,,,,Deanna Sporer,2024-09-27T15:29:00.758Z,482,3,79.98088833224028,jjz35YubX6
Travel,,,,Enrique Crona MD,2024-03-21T13:15:37.231Z,1476,5,53.79414492868818,d8pKSHwusr
Crime,,,,Dawn Hintz MD,2024-11-02T02:45:27.911Z,2150,2,45.92594737117179,xvUwMOulSw
Weather,,,,Ramon Crooks,2024-10-01T00:22:30.391Z,2546,4,12.20131808030419,viqGdLAPEW
Arts_Culture,,,,Bradford Stracke,2025-01-04T22:56:44.104Z,2733,5,93.26752244820818,PhNx7sxkJS
Food_Drink,,,,Alyssa Barton,2024-07-21T19:46:09.417Z,1702,3,37.32273933524266,61fFm4hldG
Fashion,,,,Billie McDermott,2025-01-30T12:00:16.204Z,3734,4,12.953530786791816,4DVcDmgTmx
Real_Estate,,,,Virgil Kuphal,2024-09-08T14:39:48.658Z,201,4,31.66266390355304,RRof6ac5qw
Investigative,,,,Martin Lind,2024-09-12T01:03:57.541Z,3687,4,87.79782313806936,ATrCX1XIoY
Opinion,,,,Julie Morissette DVM,2024-12-29T02:42:08.073Z,3768,3,30.314856415381655,T3OySM9UgD
Local_News,,,,Colin Stiedemann,2024-06-30T18:28:43.841Z,391,4,48.93891847250052,ocx5tbvxpP
World_News,,,,Matthew Carroll,2024-07-02T20:12:10.796Z,2423,4,98.31063656881452,eKsctJDmFY
Politics,,,,Floyd Greenholt,2024-07-13T20:12:52.387Z,231,1,13.479602168081328,rrNPLAszrN
Business,,,,Drew Kutch,2024-02-25T11:05:19.676Z,645,5,31.325270648347214,PJQH5piJ8j
Technology,,,,Alicia Funk,2025-02-10T19:46:46.620Z,854,5,80.30037344596349,Igm7Ywe9Zz
Health,,,,Kenny Kertzmann,2024-05-10T22:01:28.874Z,3039,4,78.8648814165499,LrpA0AcdKK
Environment,,,,Mrs. Elsa Wunsch,2024-06-27T03:06:24.146Z,1806,3,78.87905332259834,nHCIeRc2fY
Science,,,,Jessie Schuppe,2024-12-01T12:06:02.145Z,3523,2,89.86042210808955,Fyz3O1ssSz
Sports,,,,Laura Quigley,2024-08-05T01:01:43.527Z,416,4,51.12320485874079,pN6g8e4ppW
Education,,,,Danny Wehner,2025-02-02T04:14:53.899Z,1518,1,38.362937305355445,R5SCCCJNnt
Entertainment,,,,Clara Conn,2024-03-18T11:34:41.408Z,4912,2,11.361488093156368,n3LVu91edV
Travel,,,,Brittany Little,2024-04-26T15:11:10.306Z,828,4,87.79412069427781,cSzXvrb9ej
Crime,,,,Angelica Considine,2024-11-28T23:30:07.088Z,664,2,67.06587997288443,lbePi5a4Zz
Weather,,,,Evan O'Conner,2024-05-22T12:41:02.024Z,1145,1,61.9971619292628,HUPhYQdXJp
Arts_Culture,,,,Micheal Klein,2024-05-06T00:38:12.801Z,1976,5,66.76644754828885,Ske5lecqAs
Food_Drink,,,,Jon Schuster,2024-11-10T03:54:52.785Z,1383,5,69.81959156505764,vTuCOintN0
Fashion,,,,Dr. Loren Berge,2024-09-11T15:28:53.849Z,4975,1,66.42513213446364,KlHmamFwts
Real_Estate,,,,Santiago Lebsack,2024-12-24T18:02:45.550Z,1421,5,46.360186690464616,eBpqASVmtx
Investigative,,,,Dr. Rodolfo Wolf,2025-02-03T19:55:10.007Z,3080,5,99.92257620114833,oOSxbkjp4W
Opinion,,,,Dr. Sylvia Franey,2024-10-11T14:54:43.180Z,680,5,64.99994127755053,EFm9QBtZwb
Local_News,,,,Vicky Rolfson III,2024-10-14T13:36:55.999Z,4696,2,73.17192348954268,e1rxijMBZt
World_News,,,,Alice Gusikowski,2024-11-11T17:51:46.084Z,1146,3,85.73705843649805,x88rLINPl9
Politics,,,,Rudy Kertzmann,2024-11-24T11:31:43.696Z,3221,2,51.87866460555233,VUoqdMaQs7
Business,,,,Fredrick Hegmann,2024-07-28T16:09:24.296Z,3637,4,10.227816354250535,5otOqsygdu
Technology,,,,Viola Greenfelder,2024-07-11T10:05:43.260Z,3360,3,6.84496345394291,284SICpHLY
Health,,,,Geneva Cole,2025-02-19T22:27:52.154Z,4474,1,1.4158713486976922,YkB9NtDghJ
Environment,,,,Becky Bogisich,2024-06-21T21:12:09.421Z,4705,3,96.94614299340174,0EzSmn9TRs
Science,,,,Vickie Yost,2024-09-15T06:39:13.623Z,1296,2,35.30152325658128,oNzlE0XFPJ
Sports,,,,Caleb Larkin DVM,2024-11-11T07:36:08.888Z,3285,5,56.327952220104635,aHh2eLn6BU
Education,,,,Zachary Blanda,2025-02-20T14:49:01.818Z,1585,4,32.100924290018156,J2pTFC3Kub
Entertainment,,,,Molly Metz,2024-11-08T03:17:18.712Z,548,4,4.58682273584418,b96RXml342
Travel,,,,Cameron Bogisich,2024-07-28T09:53:42.009Z,3526,3,30.363326331600547,BedmLrzfHw
Crime,,,,Simon Quigley DDS,2025-02-20T02:12:20.867Z,430,2,77.89205012866296,oSBQAbqMGt
Weather,,,,Alan Ondricka,2024-07-28T16:49:05.087Z,773,2,79.78760145022534,bQzcZci0jh
Arts_Culture,,,,Mrs. Traci Wyman,2024-05-24T23:26:02.716Z,3163,1,96.59925034502521,TNuLjFnLgf
Food_Drink,,,,Matthew Heaney,2024-10-25T12:43:17.338Z,318,1,71.03227219823748,ZVHbB0Z5lY
Fashion,,,,Brandi Langworth,2024-03-25T08:32:29.580Z,3357,5,20.53925031167455,wwAMprwPgn
Real_Estate,,,,Rolando Leuschke,2024-08-18T08:40:07.691Z,1408,3,71.82245553168468,0rXo3fVMx2
Investigative,,,,Lynn Thompson,2024-08-19T01:44:40.551Z,3453,3,12.766052310122177,a9jQG60TIA
Opinion,,,,Wm Lind,2024-11-15T02:03:00.029Z,362,5,35.22582824830897,RpqcWobivX
Local_News,,,,Nelson Bruen PhD,2025-02-07T18:43:04.453Z,1956,1,38.73074140236713,0bucriuuQH
World_News,,,,Paulette Windler,2024-12-19T15:25:22.869Z,4004,1,50.1144680834841,ueQ2mrgEni
Politics,,,,Devin Weissnat IV,2024-04-13T16:54:05.438Z,2907,3,9.00167816481553,lmAHhM5YLt
Business,,,,Gerald McKenzie Jr.,2024-04-02T09:02:45.609Z,1548,1,15.951129572000355,70zAHeVWcF
Technology,,,,Mr. Danny Dooley,2024-10-15T12:04:49.844Z,4989,4,76.31569724506699,9MnU9vLDlN
Health,,,,Wilson Thiel DDS,2024-04-14T06:27:59.169Z,1408,5,88.04315362148918,s3veocyr4r
Environment,,,,Lynn West,2024-08-29T19:32:57.038Z,1104,3,6.226265446050093,qJRsJrM1bH
Science,,,,Courtney Ondricka,2024-07-15T12:46:47.020Z,4620,1,12.712323713582009,8b6EEHpFwU
Sports,,,,Dr. Todd Walter,2025-01-21T20:03:19.739Z,956,5,70.35316257039085,id1jTAZbMC
Education,,,,Julie Hickle,2024-05-18T07:22:43.879Z,2329,2,88.53252965305,yIa0oCtA2P
Entertainment,,,,Claudia Wilderman,2024-12-18T00:05:03.238Z,1470,4,90.41244708443992,R3S31AorvF
Travel,,,,Earl Yundt,2025-01-23T23:03:29.972Z,2666,3,85.05266032437794,5w0sXsGKeZ
Crime,,,,Karla Schuster Sr.,2024-11-17T17:27:38.462Z,4975,3,38.67802422703244,8r3XS1KqQ2
Weather,,,,Brooke Kemmer,2024-10-15T02:31:21.751Z,3154,3,18.14915221487172,gSEyU8g1WC
Arts_Culture,,,,Garry Abshire,2024-05-21T03:33:51.758Z,105,5,35.35317267593928,vld9B3pmMC
Food_Drink,,,,Lindsey Konopelski-Rowe,2024-11-23T02:31:26.264Z,4469,1,7.171541401185095,Fmloa5tVGB
Fashion,,,,Ollie Stark,2024-10-17T20:27:45.472Z,1843,5,13.257928393082693,vmcOdxHijG
Real_Estate,,,,Marta Franecki,2024-06-04T17:01:18.413Z,4759,5,70.97216096892953,CqcBR1IbSR
Investigative,,,,Jan Stracke,2024-03-10T00:31:11.122Z,2768,1,62.36561703402549,gz20NOb8kL
Opinion,,,,Sheri Schumm,2024-05-07T18:09:07.767Z,1325,1,15.136607588967308,lmbFDVwNBB
Local_News,,,,Glenn Funk,2025-02-02T12:05:22.609Z,4206,1,6.17317393491976,iryQGqd5Ag
World_News,,,,Mary Wilderman,2024-04-11T13:13:00.761Z,2537,2,33.67539867176674,m23dv4UKpp
