category,elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon
Krummholz,1242,137,9,198,100,4461,63,24
Spruce/Fir,1705,94,20,733,106,3175,2,136
Lodgepole_Pine,1116,59,49,605,-47,1759,17,85
Ponderosa_Pine,3683,242,59,597,62,6730,149,203
Cottonwood/Willow,1107,172,49,708,-18,873,42,78
Aspen,3513,225,37,337,269,5230,147,219
Douglas-fir,1157,57,9,832,171,4189,117,66
Krummholz,3039,314,48,195,267,516,134,148
Spruce/Fir,3811,30,58,565,95,1351,169,171
Lodgepole_Pine,2470,315,29,750,238,4149,122,98
Ponderosa_Pine,2796,153,52,376,63,1773,235,177
Cottonwood/Willow,3634,55,8,949,198,3348,105,101
Aspen,2364,266,12,384,176,1034,56,86
Douglas-fir,3044,290,21,149,92,3869,188,26
Krummholz,1066,189,58,485,182,5540,131,70
Spruce/Fir,2217,297,24,985,69,1172,216,189
Lodgepole_Pine,3349,320,30,61,29,6026,120,142
Ponderosa_Pine,2459,252,59,697,100,5485,136,175
Cottonwood/Willow,3278,192,37,614,168,6039,142,248
Aspen,3088,326,50,668,71,3839,200,187
Douglas-fir,1080,357,53,542,-44,4285,42,207
Krummholz,3824,304,9,220,183,2665,67,99
Spruce/Fir,3770,85,37,781,-28,3042,105,164
Lodgepole_Pine,1802,36,58,629,-87,2877,209,119
Ponderosa_Pine,2390,231,20,909,-92,2024,245,23
Cottonwood/Willow,1812,5,15,207,250,5036,94,94
Aspen,1337,249,52,985,16,4606,131,69
Douglas-fir,3018,95,56,275,-88,2124,120,172
Krummholz,1504,193,30,333,-59,864,211,1
Spruce/Fir,2573,37,25,665,258,1108,123,80
Lodgepole_Pine,3407,153,28,463,73,454,219,202
Ponderosa_Pine,2188,150,33,303,1,84,254,77
Cottonwood/Willow,3642,126,58,497,220,860,172,39
Aspen,2528,158,23,508,35,950,213,160
Douglas-fir,2417,23,14,586,18,4324,246,232
Krummholz,3677,27,6,17,-85,2904,108,53
Spruce/Fir,2300,225,1,398,177,6442,79,59
Lodgepole_Pine,1408,248,24,668,235,3877,176,165
Ponderosa_Pine,1743,331,8,877,173,2121,230,209
Cottonwood/Willow,2910,212,25,3,19,1198,35,138
Aspen,1199,30,32,814,103,1309,53,125
Douglas-fir,1235,191,33,263,8,6631,53,11
Krummholz,1286,78,36,302,-81,5143,252,167
Spruce/Fir,3411,193,7,746,298,2294,151,113
Lodgepole_Pine,1539,158,6,56,55,1088,152,62
Ponderosa_Pine,2663,9,23,589,253,5259,86,246
Cottonwood/Willow,2508,269,22,918,9,1776,247,133
Aspen,2558,347,20,86,34,3827,2,184
Douglas-fir,3568,268,5,383,74,2705,14,107
Krummholz,3077,83,9,729,-14,3889,44,183
Spruce/Fir,2296,123,6,987,-48,6775,165,214
Lodgepole_Pine,2921,197,1,937,-24,96,185,8
Ponderosa_Pine,3705,161,1,342,137,5494,201,76
Cottonwood/Willow,1642,341,12,874,26,3694,115,118
Aspen,2274,11,21,400,209,4030,146,69
Douglas-fir,3073,93,16,297,215,3964,157,223
Krummholz,1230,321,55,229,133,5085,35,79
Spruce/Fir,2901,62,4,159,-86,3457,29,105
Lodgepole_Pine,3470,60,26,794,102,3602,101,52
Ponderosa_Pine,2297,128,53,91,35,2721,214,230
Cottonwood/Willow,3986,160,4,158,-21,5472,46,13
Aspen,2985,220,52,816,104,4253,148,233
Douglas-fir,2935,275,16,30,-40,1219,187,194
Krummholz,1208,267,13,717,234,6645,162,162
Spruce/Fir,1283,32,37,907,77,3871,149,169
Lodgepole_Pine,3242,156,59,635,185,419,78,4
Ponderosa_Pine,3680,273,28,515,227,1041,148,126
Cottonwood/Willow,2285,91,26,190,60,4639,217,61
Aspen,2122,282,2,14,248,82,99,138
Douglas-fir,2230,83,28,339,133,5472,196,222
Krummholz,3252,325,48,29,56,1990,187,216
Spruce/Fir,2655,12,53,506,214,6714,40,227
Lodgepole_Pine,3685,223,29,940,230,5115,229,207
Ponderosa_Pine,2335,96,5,83,244,52,134,184
Cottonwood/Willow,3418,97,3,551,112,1739,24,114
Aspen,3886,329,3,527,155,2471,195,150
Douglas-fir,2481,175,59,257,-31,2252,204,247
Krummholz,3863,137,35,627,291,3042,80,10
Spruce/Fir,1168,37,5,173,283,3854,139,178
Lodgepole_Pine,1480,152,5,593,300,5941,13,152
Ponderosa_Pine,3113,342,42,923,-92,5943,187,45
Cottonwood/Willow,2675,254,22,1000,74,4277,3,223
Aspen,2095,359,55,598,235,2738,154,107
Douglas-fir,3294,119,42,965,-53,737,239,166
Krummholz,2040,177,12,130,165,175,195,233
Spruce/Fir,2407,146,16,211,-97,4946,236,232
Lodgepole_Pine,1820,201,15,572,-32,3059,11,5
Ponderosa_Pine,2384,88,15,322,149,2699,140,19
Cottonwood/Willow,2345,189,25,175,216,1437,220,25
Aspen,2121,22,29,321,41,2826,90,171
Douglas-fir,3246,26,37,381,300,3119,205,35
Krummholz,2764,104,53,643,76,1829,81,254
Spruce/Fir,1734,64,24,657,262,5043,194,109
Lodgepole_Pine,2460,263,34,928,38,4648,133,79
Ponderosa_Pine,2145,262,60,825,208,1938,78,255
Cottonwood/Willow,3325,187,55,925,-48,2238,253,65
Aspen,3383,257,26,385,252,5840,24,164
Douglas-fir,3512,278,57,896,-82,3431,4,122
Krummholz,2553,205,9,966,-21,5879,57,251
Spruce/Fir,3041,141,14,467,229,2187,98,15
Lodgepole_Pine,2245,246,40,655,-44,826,212,45
Ponderosa_Pine,3119,38,7,319,180,5041,62,19
Cottonwood/Willow,1596,101,45,13,-86,1441,127,125
Aspen,1965,220,27,540,264,6950,28,128
Douglas-fir,3021,31,23,435,2,4947,242,143
Krummholz,3416,47,47,932,4,2237,217,190
Spruce/Fir,1143,83,35,595,-72,2842,19,183
Lodgepole_Pine,2712,102,22,709,146,5244,165,8
Ponderosa_Pine,2468,228,24,558,95,5619,169,50
Cottonwood/Willow,1800,208,50,495,49,3937,186,65
Aspen,1810,126,29,886,-10,1695,253,247
Douglas-fir,1495,35,26,119,-56,6597,10,160
Krummholz,3829,25,2,594,36,2806,189,205
Spruce/Fir,1025,51,56,76,217,3082,40,124
Lodgepole_Pine,3357,271,2,656,61,2009,179,209
Ponderosa_Pine,2507,45,36,526,-82,3421,154,15
Cottonwood/Willow,1755,155,3,666,-72,2333,161,114
Aspen,2176,258,60,577,1,5776,76,24
Douglas-fir,2597,193,26,725,268,2878,138,199
Krummholz,1808,97,18,533,223,2251,95,222
Spruce/Fir,1433,105,43,42,135,5106,84,29
Lodgepole_Pine,1959,220,40,533,200,1562,249,157
Ponderosa_Pine,1473,137,2,440,-17,6871,82,49
Cottonwood/Willow,2793,6,53,256,287,6352,194,33
Aspen,3020,327,54,512,220,6628,88,76
Douglas-fir,2489,328,12,499,238,3957,192,193
Krummholz,1158,346,60,403,0,6993,145,180
Spruce/Fir,3310,262,55,991,-77,6450,20,162
Lodgepole_Pine,2940,246,58,619,130,3427,2,116
Ponderosa_Pine,2197,113,50,358,121,4245,92,210
Cottonwood/Willow,1230,322,39,515,127,4756,209,174
Aspen,1475,233,33,760,265,1413,189,254
Douglas-fir,3576,52,44,890,-79,2706,219,134
Krummholz,1487,226,37,894,-90,6089,161,8
Spruce/Fir,2718,173,34,425,38,4198,115,59
Lodgepole_Pine,2920,237,36,341,66,5064,133,144
Ponderosa_Pine,3623,60,26,127,-80,5809,163,16
Cottonwood/Willow,1966,313,46,18,-2,1560,181,98
Aspen,1017,192,27,237,198,6821,58,108
Douglas-fir,2932,219,36,148,5,3380,4,106
Krummholz,2341,217,47,56,-2,5219,22,40
Spruce/Fir,2909,80,47,682,74,3337,167,232
Lodgepole_Pine,3688,261,40,936,245,1293,223,229
Ponderosa_Pine,2352,75,31,997,138,6538,75,153
Cottonwood/Willow,1006,289,16,935,230,3042,21,94
Aspen,1623,175,31,758,-96,2363,140,40
Douglas-fir,1004,247,18,383,173,3056,102,231
Krummholz,2001,326,9,420,15,708,186,98
Spruce/Fir,2324,121,11,560,106,5595,201,48
Lodgepole_Pine,3055,141,9,830,227,5352,41,241
Ponderosa_Pine,1884,93,16,599,72,3242,212,235
Cottonwood/Willow,1735,193,12,968,-39,2135,76,252
Aspen,1594,33,50,817,181,4854,5,109
Douglas-fir,2970,78,31,912,-11,1206,5,238
Krummholz,1958,245,23,792,-91,456,89,255
Spruce/Fir,1463,285,11,437,-39,4975,79,194
Lodgepole_Pine,1023,115,58,965,279,376,154,130
Ponderosa_Pine,1965,190,45,899,-18,2346,16,85
Cottonwood/Willow,1784,103,21,255,251,2685,44,51
Aspen,3845,335,4,301,187,5979,227,244
Douglas-fir,3216,87,10,228,64,2221,48,70
Krummholz,3053,309,42,928,284,2719,235,219
Spruce/Fir,2251,3,46,951,100,6468,70,100
Lodgepole_Pine,3177,275,55,113,119,2871,117,112
Ponderosa_Pine,1383,317,35,299,-93,932,243,30
Cottonwood/Willow,3542,216,22,652,226,2854,136,89
Aspen,1064,176,31,779,217,5227,67,36
Douglas-fir,3233,233,17,232,292,107,30,46
Krummholz,1285,248,12,857,-69,793,206,92
Spruce/Fir,2315,287,34,914,-64,6536,62,156
Lodgepole_Pine,1763,87,5,465,240,4197,144,196
Ponderosa_Pine,1745,290,22,244,-79,3114,192,160
Cottonwood/Willow,1783,30,38,559,122,2077,65,9
Aspen,3171,263,18,350,-95,1514,104,244
Douglas-fir,1039,203,12,614,-8,6710,158,231
Krummholz,1724,77,49,685,234,2343,255,64
Spruce/Fir,1659,59,49,969,5,4242,69,219
Lodgepole_Pine,3716,252,55,410,284,309,66,197
Ponderosa_Pine,2108,170,40,773,231,4609,96,91
Cottonwood/Willow,1995,281,49,355,112,2641,8,32
Aspen,3713,265,56,283,151,6867,66,158
Douglas-fir,2877,208,14,622,18,2946,95,106
Krummholz,2833,97,50,858,295,22,169,24
Spruce/Fir,2545,297,7,739,229,1206,173,33
Lodgepole_Pine,2798,71,5,467,83,3342,141,124
Ponderosa_Pine,3875,353,29,224,130,3965,255,194
Cottonwood/Willow,2407,199,32,388,0,3462,141,163
Aspen,2240,118,55,964,15,2644,50,67
Douglas-fir,2027,70,44,288,131,5365,69,172
Krummholz,3845,55,36,415,65,4004,25,249
Spruce/Fir,1681,71,21,828,115,2001,11,147
Lodgepole_Pine,2102,324,4,328,220,2276,92,212
Ponderosa_Pine,1894,2,2,321,299,5572,62,27
Cottonwood/Willow,3839,307,34,31,111,2917,68,67
Aspen,3060,246,34,575,-72,2215,124,56
Douglas-fir,1660,44,16,428,300,1053,19,69
Krummholz,3605,116,39,267,-97,3514,227,77
Spruce/Fir,1869,315,52,114,215,3603,220,195
Lodgepole_Pine,3282,136,16,441,284,5320,216,26
Ponderosa_Pine,1307,7,32,717,25,3521,37,9
Cottonwood/Willow,3902,35,53,669,-88,4868,155,211
Aspen,1820,89,50,97,113,2686,130,147
Douglas-fir,3725,184,36,459,-19,5917,195,191
Krummholz,2373,42,50,404,2,6778,4,25
Spruce/Fir,2797,223,1,844,-82,5597,239,113
Lodgepole_Pine,1215,310,36,306,218,5206,180,4
Ponderosa_Pine,1952,42,40,906,170,3887,31,240
Cottonwood/Willow,2709,174,27,385,215,2051,21,233
Aspen,1033,168,12,580,73,4550,223,24
Douglas-fir,3286,211,46,945,-60,2941,2,144
Krummholz,2714,41,26,131,-74,1441,60,181
Spruce/Fir,2857,298,22,518,256,1849,169,79
Lodgepole_Pine,1152,147,18,874,-37,5946,252,207
Ponderosa_Pine,2528,100,13,177,268,53,213,183
Cottonwood/Willow,3387,114,17,926,10,441,154,101
Aspen,1101,30,14,800,203,2926,103,17
Douglas-fir,3469,243,42,162,1,3553,142,110
Krummholz,1641,30,41,248,209,1124,43,251
Spruce/Fir,3416,252,34,12,185,11,197,214
Lodgepole_Pine,3513,225,37,195,61,2214,1,128
Ponderosa_Pine,2019,184,35,6,-53,1392,61,95
Cottonwood/Willow,3059,152,38,758,69,1057,122,77
Aspen,3557,266,35,218,-7,1755,59,50
Douglas-fir,2259,180,37,373,248,5555,94,145
Krummholz,1467,165,23,944,260,2232,218,98
Spruce/Fir,1580,344,33,831,237,696,15,1
Lodgepole_Pine,3998,9,8,164,-72,1624,192,30
Ponderosa_Pine,3192,82,43,327,298,6872,143,216
Cottonwood/Willow,1855,315,11,364,242,2436,75,101
Aspen,3459,64,13,918,105,6928,29,23
Douglas-fir,2002,140,58,206,257,3898,162,252
Krummholz,1880,174,51,646,144,1155,147,108
Spruce/Fir,2750,25,48,810,299,2985,172,69
Lodgepole_Pine,1157,183,6,974,-37,5551,204,201
Ponderosa_Pine,3999,63,32,365,218,1446,179,216
Cottonwood/Willow,1603,276,37,519,-100,6456,215,164
Aspen,2427,116,20,299,57,3628,90,100
Douglas-fir,3907,86,12,32,92,6556,37,240
Krummholz,3428,3,33,286,60,6677,15,176
Spruce/Fir,1071,278,35,698,278,6112,26,129
Lodgepole_Pine,1895,41,17,556,249,5623,41,230
Ponderosa_Pine,1118,209,27,517,17,5455,118,18
Cottonwood/Willow,1511,126,6,62,141,6174,122,197
Aspen,1279,345,43,492,-68,6231,66,170
Douglas-fir,3179,352,21,939,111,6941,1,95
Krummholz,2270,66,16,994,-47,2186,249,5
Spruce/Fir,1847,331,36,782,222,4866,88,185
Lodgepole_Pine,3465,98,47,780,105,4384,35,223
Ponderosa_Pine,1343,332,33,312,202,5111,9,197
Cottonwood/Willow,1921,332,49,292,-3,3478,200,203
Aspen,1079,350,2,768,179,2018,208,35
Douglas-fir,3185,324,7,458,206,979,78,5
Krummholz,2686,302,6,307,-71,3851,237,115
Spruce/Fir,1008,330,55,829,29,6859,199,183
Lodgepole_Pine,1073,79,8,880,-82,693,48,245
Ponderosa_Pine,3569,326,9,159,162,3092,65,25
Cottonwood/Willow,1181,155,60,886,160,5289,189,159
Aspen,1182,57,38,564,224,1421,74,173
Douglas-fir,2142,2,59,633,52,3666,84,247
Krummholz,2453,140,20,83,142,4197,45,220
Spruce/Fir,1326,225,47,960,-72,2744,210,163
Lodgepole_Pine,1457,9,20,310,60,3994,23,50
Ponderosa_Pine,3430,333,6,209,93,4039,170,119
Cottonwood/Willow,3427,61,3,502,167,1869,61,184
Aspen,1676,250,60,609,200,578,217,81
Douglas-fir,3192,234,19,239,261,147,6,162
Krummholz,2642,89,43,317,184,2575,45,122
Spruce/Fir,3444,183,35,47,248,1218,200,178
Lodgepole_Pine,1694,203,47,691,93,3387,25,212
Ponderosa_Pine,2778,330,55,606,274,5647,136,23
Cottonwood/Willow,1174,135,54,471,-43,3980,187,189
Aspen,1543,324,42,925,-74,5117,1,75
Douglas-fir,1934,286,56,404,-87,5846,41,69
Krummholz,1216,5,25,164,123,6278,197,55
Spruce/Fir,2079,164,12,73,147,3352,26,168
Lodgepole_Pine,1817,211,36,506,125,4469,81,138
Ponderosa_Pine,2968,238,19,895,-96,1936,176,207
Cottonwood/Willow,1441,246,10,311,-13,332,199,127
Aspen,2044,155,60,211,87,6688,113,54
Douglas-fir,2925,51,15,744,-71,54,69,250
Krummholz,1144,233,21,584,56,3799,88,211
Spruce/Fir,1999,18,50,415,-100,2102,92,93
Lodgepole_Pine,2299,90,26,756,249,318,77,243
Ponderosa_Pine,2041,208,36,54,113,3134,98,140
Cottonwood/Willow,3753,20,43,537,64,2105,248,172
Aspen,3445,319,18,980,63,1092,162,117
Douglas-fir,2257,76,58,367,140,5943,245,245
Krummholz,2842,274,19,542,143,2728,252,158
Spruce/Fir,1055,158,55,567,-44,4367,249,119
Lodgepole_Pine,2239,290,22,944,-14,4481,104,245
Ponderosa_Pine,3419,80,1,482,277,2932,151,90
Cottonwood/Willow,1563,7,44,595,212,3613,235,242
Aspen,1608,129,51,875,246,5271,133,13
Douglas-fir,1984,312,28,572,-77,5853,155,192
Krummholz,2916,53,27,679,16,6614,163,239
Spruce/Fir,2166,323,14,424,4,2596,135,196
Lodgepole_Pine,3256,2,17,364,288,1394,117,157
Ponderosa_Pine,1683,316,28,989,151,3968,133,71
Cottonwood/Willow,3631,249,22,229,187,959,139,91
Aspen,3961,49,56,30,-41,3011,207,153
Douglas-fir,2399,215,19,411,187,14,118,210
Krummholz,3554,44,7,371,69,5922,55,195
Spruce/Fir,1899,229,48,159,-41,1881,216,100
Lodgepole_Pine,1430,162,12,873,224,2930,37,77
Ponderosa_Pine,3746,150,25,179,67,4915,5,52
Cottonwood/Willow,3473,101,21,242,203,561,48,165
Aspen,2738,268,53,996,278,2657,38,135
Douglas-fir,3065,211,31,383,202,5178,252,48
Krummholz,1646,117,20,603,109,6581,202,157
Spruce/Fir,2939,238,38,2,152,2331,117,116
Lodgepole_Pine,2069,233,5,573,-89,2713,76,171
Ponderosa_Pine,3944,95,34,971,63,6517,12,78
Cottonwood/Willow,3651,301,46,859,161,5030,243,36
Aspen,2703,118,5,197,177,1143,15,97
Douglas-fir,2990,94,56,943,152,2232,7,208
Krummholz,1477,245,1,658,133,2863,181,158
Spruce/Fir,1504,274,5,695,100,4401,67,130
Lodgepole_Pine,1806,253,42,40,16,1922,141,185
Ponderosa_Pine,1855,18,56,394,99,2228,154,191
Cottonwood/Willow,1215,284,55,764,-72,1268,179,196
Aspen,2577,29,55,965,88,903,185,188
Douglas-fir,1290,264,40,817,292,4257,105,110
Krummholz,1571,243,46,614,19,966,38,53
Spruce/Fir,3362,115,56,775,124,3628,33,178
Lodgepole_Pine,3644,106,28,457,63,5066,247,37
Ponderosa_Pine,3104,309,42,221,74,1682,150,141
Cottonwood/Willow,1848,233,28,808,-9,6822,54,199
Aspen,2417,31,31,681,117,1143,72,24
Douglas-fir,1876,6,5,632,268,3057,61,54
Krummholz,2654,88,25,239,-23,4296,167,143
Spruce/Fir,3576,212,19,957,299,5910,40,146
Lodgepole_Pine,3016,331,59,159,-97,2899,199,140
Ponderosa_Pine,2694,226,50,213,84,85,222,49
Cottonwood/Willow,2574,22,46,880,158,525,186,151
Aspen,1927,15,35,637,127,2213,83,171
Douglas-fir,1160,134,11,15,91,2525,99,94
Krummholz,1167,152,47,893,5,1375,18,214
Spruce/Fir,3900,357,13,903,201,4905,229,11
Lodgepole_Pine,3075,302,27,656,257,2415,92,24
Ponderosa_Pine,3176,93,36,299,39,5676,212,140
Cottonwood/Willow,3973,62,56,199,-63,3629,241,67
Aspen,2145,333,35,249,268,4191,59,232
Douglas-fir,3662,250,60,1000,225,4750,21,136
Krummholz,2731,277,3,71,56,5615,140,81
Spruce/Fir,2622,30,43,189,176,657,124,28
Lodgepole_Pine,3133,345,41,351,50,5924,94,85
Ponderosa_Pine,2982,138,21,218,-57,1109,57,118
Cottonwood/Willow,2065,170,58,649,160,5114,145,164
Aspen,3046,88,29,654,211,2857,103,106
Douglas-fir,2907,238,16,250,208,2533,86,107
Krummholz,2107,166,52,333,-77,4860,75,93
Spruce/Fir,3871,210,37,81,20,3548,6,172
Lodgepole_Pine,1039,259,23,183,84,1329,167,41
Ponderosa_Pine,1666,57,29,492,-47,6794,27,42
Cottonwood/Willow,1849,330,59,857,248,2506,89,161
Aspen,1317,265,17,992,223,2459,16,137
Douglas-fir,1558,330,48,460,40,2501,106,47
Krummholz,1721,358,59,179,-76,1473,74,133
Spruce/Fir,3454,277,10,399,16,1475,46,143
Lodgepole_Pine,3404,173,34,768,256,5661,36,206
Ponderosa_Pine,1306,101,45,152,164,3619,248,64
Cottonwood/Willow,2348,192,54,84,89,2312,194,195
Aspen,1955,157,59,912,-52,636,53,50
Douglas-fir,1640,236,4,288,3,3015,117,45
Krummholz,3605,95,60,176,-12,1662,55,221
Spruce/Fir,3069,96,21,518,162,111,158,38
Lodgepole_Pine,1505,320,54,197,-54,4578,155,136
Ponderosa_Pine,1138,51,7,710,99,520,158,212
Cottonwood/Willow,3275,292,58,684,262,686,134,79
Aspen,1946,210,37,984,-64,4005,115,24
Douglas-fir,3675,337,41,858,-84,3252,203,133
Krummholz,3449,197,15,340,-22,3096,26,163
Spruce/Fir,2527,33,10,557,273,3304,38,15
Lodgepole_Pine,2011,323,22,311,265,1107,81,156
Ponderosa_Pine,1121,347,23,642,-64,2912,34,169
Cottonwood/Willow,1795,103,10,250,76,5131,20,42
Aspen,1866,327,8,662,-24,2526,218,142
Douglas-fir,1535,342,50,746,-4,3818,240,104
Krummholz,3227,212,44,74,3,4799,61,34
Spruce/Fir,1622,315,28,390,-35,1061,76,252
Lodgepole_Pine,3946,127,31,598,97,2542,170,10
Ponderosa_Pine,1612,184,1,307,157,6510,131,230
Cottonwood/Willow,1999,296,25,882,-46,6734,233,12
Aspen,3975,92,50,638,3,3617,102,23
Douglas-fir,3791,345,17,64,155,4343,61,26
Krummholz,2960,334,48,654,-34,2178,95,141
Spruce/Fir,1697,3,58,997,48,6111,176,88
Lodgepole_Pine,2718,190,14,405,3,1664,180,189
Ponderosa_Pine,2662,255,43,939,-62,1786,166,86
Cottonwood/Willow,3677,313,10,573,116,5384,228,179
Aspen,2698,259,36,175,258,1127,89,45
Douglas-fir,1892,147,39,229,9,300,244,110
Krummholz,1527,26,8,396,30,98,23,97
Spruce/Fir,1749,255,3,601,127,3914,68,74
Lodgepole_Pine,3846,228,6,550,280,3449,36,59
Ponderosa_Pine,2092,58,43,565,162,2089,151,24
Cottonwood/Willow,1665,339,24,718,102,3717,153,250
Aspen,1834,352,3,242,33,2361,187,198
Douglas-fir,3127,310,55,151,65,2550,136,89
Krummholz,3343,101,9,280,231,5052,232,157
Spruce/Fir,3150,75,40,38,-76,6715,172,247
Lodgepole_Pine,3500,297,29,199,32,5125,25,12
Ponderosa_Pine,2007,327,12,824,223,5675,171,181
Cottonwood/Willow,2127,323,1,944,96,6228,82,222
Aspen,2652,187,19,77,-21,873,96,172
Douglas-fir,2383,6,13,584,193,1043,252,88
Krummholz,2790,27,2,819,-69,4695,192,255
Spruce/Fir,3636,237,13,296,8,2363,120,119
Lodgepole_Pine,2113,57,47,371,241,2035,176,197
Ponderosa_Pine,3912,82,41,741,258,2778,3,180
Cottonwood/Willow,2843,87,2,372,-76,1506,173,43
Aspen,1604,150,52,801,-87,4537,223,208
