category,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species_label,extra_feature1,extra_feature2,extra_feature3
Versicolor,5.540422361437232,2.3390448562800885,3.224754251819104,2.4770844846963884,1,9.842644958058372,1.0197988264262676,7.337213051272556
Virginica,7.51416774103418,3.467535978741944,3.513359650154598,1.120088137499988,1,8.353830070700496,2.510698710102588,3.123054926050827
Setosa,4.9545835387893025,2.2249076241627335,6.221302431658842,0.29999378602951765,1,7.032786215189844,1.5586776845157146,3.7664819308556616
Versicolor,6.6108642578125,3.072757425345481,4.757218867866323,0.3085202043876052,2,4.781032475875691,6.514060400659218,6.717650376725942
Virginica,6.289348610024899,2.894958730041981,3.921136417007074,1.261866956204176,2,4.740240607177839,6.247333053732291,6.423121114028618
Setosa,7.015883251372725,2.50840974599123,4.677878050133586,0.7606772189959883,1,7.078018248314038,7.810902598313987,7.825783154461533
Versicolor,7.4192759361118075,4.367764341458678,6.785469762049615,2.436879300326109,2,4.186961174244061,5.495338966138661,7.864889940014109
Virginica,7.840352372080088,3.3043493462726476,1.5605304891243579,1.1008594715967774,2,5.556397474138066,8.552952963858843,2.6232332242652774
Setosa,7.03626519003883,2.7471883196383717,4.446085093775764,1.2198194479569793,1,2.663166628917679,5.524937639245763,7.163187543861568
Versicolor,7.606668601371348,3.147760356217623,1.3266037440858782,0.24905243813991546,1,9.065641025314108,2.089325706474483,7.723735243547708
Virginica,4.708457017224282,2.182225322537124,1.490800461312756,2.038099370524287,2,5.808015063870698,3.6836172500625253,9.729021374834701
Setosa,5.666756823379546,3.8236802008003,5.568803433794528,1.0023546950891613,2,4.440521295182407,7.028511136537418,8.599931884091347
Versicolor,5.8635620549321175,3.8865193149074915,2.125974719738588,0.3612785371020436,2,5.204952553380281,5.239641606574878,1.1049038956407458
Virginica,6.119904224667698,2.4105214098468424,2.706638398533687,1.872141283005476,2,7.468529411358759,4.596645882120356,9.009234398137778
Setosa,7.7083243984729055,3.6049729397520425,4.087532734172418,0.808761347644031,2,4.3394483148586005,1.695654695853591,8.469290893757716
Versicolor,7.594054316543042,3.8115380562841894,3.5685422057518736,1.8790059516206383,2,4.227450349368155,4.208559079794213,8.995125679066405
Virginica,5.932830927520991,4.374123178422451,4.443878585495986,1.6975629406049848,2,4.253336088731885,4.733450609724969,8.645834859227762
Setosa,7.7920832623727625,3.076844591088593,2.9946653850376608,1.2213685080409051,2,5.647572003072128,9.08127855323255,1.5904887567739934
Versicolor,5.662642539385706,3.8899662625044584,3.507314650947228,2.457224334590137,2,2.959387114504352,1.7095682444050908,5.158450777176768
Virginica,5.173438158724457,2.8664438653737307,6.311402815836482,0.22309202942997217,2,5.075347643811256,3.7965344882104546,5.659549183212221
Setosa,5.223628951329738,3.292981538176537,4.357867981959135,0.1342401308938861,2,9.227674200199544,5.310442794580013,9.765249632531777
Versicolor,5.87370294155553,2.219987188279629,3.326805393351242,1.6341162050142886,1,3.7511961767449975,1.215610281098634,8.31391395162791
Virginica,5.358853047713637,3.4591473504900936,4.5991911689285185,1.7534992786124348,2,1.2056138599291444,5.6223148121498525,1.819806467043236
Setosa,6.6186139266006645,2.288597840629518,1.5191658195108175,1.7546667167916894,2,7.23030706262216,9.902132797986269,2.350376474438235
Versicolor,7.524023138359189,3.223356928676367,1.353820670559071,2.0961654920130965,1,1.9146586125716567,6.69581855321303,7.815889187389985
Virginica,5.091985792573541,3.415872274525464,6.504311638069339,0.294525752030313,2,1.343075018376112,4.761581770842895,6.656686573754996
Setosa,4.977704540081322,2.7747507877647877,4.972996652987786,2.2566129023209216,1,1.7662755430210382,1.9024930952582508,8.96724964841269
Versicolor,5.001669682003557,3.5567951656877996,2.7462806685129184,0.4931024488061666,1,9.342248901026323,1.9332695556804538,7.960852392250672
Virginica,6.786454996373505,3.143011946603656,3.6030494942329825,1.306588372029364,2,7.609671281417832,1.7098137503489852,7.070089560933411
Setosa,6.940049424115569,2.3473838597536085,5.923276658938267,0.42805062681436534,1,4.074516193475574,1.9527059234678745,7.017037956044078
Versicolor,5.172053412999958,4.3146895946934825,3.406668483885005,2.216175596229732,2,1.3262055874802172,3.4047595059964806,7.5991398664191365
Virginica,7.7161561185494065,2.7310381440445783,6.503507473622449,0.6759013013914227,2,7.183436449151486,1.3019776020664722,7.597911469172686
Setosa,4.612541846465319,3.7010478489100933,5.850011769286358,2.0025780506432054,1,3.235812048893422,7.814595815725625,2.72825000109151
Versicolor,4.537875943537801,4.136256504431367,1.5797301117330789,0.623266327381134,2,3.122645065654069,5.77968816854991,3.968518285546452
Virginica,5.506556626968086,4.238054247945548,1.210169477155432,0.2779076164588332,1,9.663561860565096,8.52628798619844,1.2421665370929986
Setosa,4.338636728003621,3.4939523037523035,2.8810785416048024,1.9046455144882202,2,9.363272359129041,8.535410055425018,3.161485845223069
Versicolor,7.493608510866761,3.0659292940050364,4.957997752469964,0.6945043923333287,1,1.9570516070816666,6.208071464905515,3.8073162434156984
Virginica,7.61396469604224,3.0894943526014687,1.2991767787607387,0.31373895667493346,2,5.285882047610357,7.697574437363073,5.2343378567602485
Setosa,7.696880839206279,3.2355611870065335,3.616629813774489,0.6027301594614982,1,3.487679427722469,9.409059647237882,5.2838063111994416
Versicolor,6.184658584930003,4.0572873167693615,6.035465074959212,1.5308585546910762,2,7.328836975619197,2.738692366750911,3.75074744108133
Virginica,5.810579341743141,3.3436677291989327,4.039822252350859,0.20490353703498843,1,3.928124102531001,8.252682038815692,2.893451363546774
Setosa,5.034237301908433,4.186326000839472,3.652070882241242,0.6238453783094883,2,9.426274467026815,8.815220997901633,5.896607855567709
Versicolor,5.170288889948279,2.408838759548962,4.521165739768184,1.2165098920464517,1,3.9009553431533277,4.186202354263514,5.495769863016903
Virginica,6.533522391226143,4.013833000510932,3.245393146085553,1.3992719693109394,1,2.857526063453406,4.333112379768863,6.567484547616914
Setosa,6.376564372796565,2.3750836284831167,2.880236728140153,0.15284475069493056,1,6.256686054868624,7.17974155745469,7.4707462675869465
Versicolor,4.575254655163735,4.052647104673088,4.708428323408588,2.108196075633168,2,8.478894182713702,4.15291671664454,5.149225415661931
Virginica,7.302386004850268,3.426572158373893,5.467378320684657,0.4188019912689924,1,4.335584578104317,8.73153756861575,9.664514084579423
Setosa,4.980355613678694,2.4772345373407005,4.6694568136706955,0.5035589629784226,1,7.864463864825666,3.573889466468245,3.6775285098701715
Versicolor,7.137376003339886,3.5557456893846395,1.948832029150799,0.9657416032627224,1,4.740432538092136,7.532626067986712,5.22269748034887
Virginica,6.059812303911895,2.6661730015650393,6.656339193251916,1.9537228791043162,2,3.2247342846821994,4.587272917386144,6.064859996084124
Setosa,7.204438582155854,2.512476759403944,5.892930003837683,2.2826817382127045,2,9.13592905853875,7.131791939493269,6.625024317996576
Versicolor,5.522361564543099,4.390057423338295,4.835055387066678,2.203180954605341,1,8.523663895204663,9.861123156966642,9.948274563066661
Virginica,5.303375377226621,4.267013886012137,4.564734288398176,1.41292059160769,1,5.459180657519028,2.079534614691511,8.355338362744078
Setosa,4.313018402364105,2.4957042202353477,4.889074593922123,0.5622705491259694,2,3.6449659182690084,3.481492621358484,3.0119645760860294
Versicolor,7.483297765813768,3.4393241930753,5.028715152456425,1.447206088155508,2,4.4209445242304355,2.865437469445169,7.469706509262323
Virginica,5.929898203536868,3.922087049856782,2.599033961631358,0.8597154326736927,2,7.44158533308655,8.286627816269174,6.933848929125816
Setosa,4.345117281097918,4.20875003207475,5.771466794121079,0.10135548058897258,1,3.3419204973615706,6.691903521306813,3.90946465334855
Versicolor,4.371130074188113,3.2773106308653954,6.762379074236378,1.9394122641533613,2,7.8025009096600115,9.756965531501919,2.1161273133475333
Virginica,7.884177126828582,3.8838062364608055,6.1538331224815925,0.20472012143582108,1,5.3181855524890125,7.5317118999082595,2.452990356599912
Setosa,5.063174565322697,3.5011186163872483,4.05480423849076,0.784775117971003,1,6.70556982466951,2.170546144945547,2.8120750887319446
Versicolor,5.6476405814290045,3.402981296926737,1.1204644152196124,0.1370898460969329,1,7.097947011003271,5.158088226336986,5.864934221375734
Virginica,6.44483752977103,2.169436000660062,2.108469503489323,0.9812875900417566,1,1.7696237822528929,4.904654718236998,2.3842609194107354
Setosa,5.588637787569314,4.043790551647544,1.8899926023557783,1.152122618071735,2,2.0429070389363915,9.865918357856572,6.762580246431753
Versicolor,4.312754851859062,3.6141001069918275,5.8652407124871395,0.9924391902983188,1,4.527189195388928,9.634642320685089,6.962380722165108
Virginica,6.046226812154055,2.4838932771235704,4.614288841281086,0.5964170876890421,1,2.3237962126731873,2.7267855086829513,7.494278624188155
Setosa,5.6929776393808424,3.2592710547149184,6.589598211995327,1.9355221524834634,1,3.4863953872118145,2.609984387876466,1.6310516360681504
Versicolor,7.791624658275396,3.391679201833904,4.21416653858032,1.7353250650689007,1,1.1566180337686092,9.425558059476316,7.422874289099127
Virginica,4.768147351779044,3.6075579684227708,6.4879171248525385,0.19826574809849262,1,3.578666535206139,7.405745012918487,4.0895703074056655
Setosa,4.581111016310751,3.0770373893901706,4.45206267174799,1.1964968856424094,2,5.715381899382919,6.957355293445289,1.7229966840241104
Versicolor,5.3823548120446505,2.0023302316665648,1.094122365815565,1.5688513608649373,2,7.816949282307178,1.701251319842413,6.447577801765874
Virginica,4.776605278812349,2.0677322367206217,1.154898853600025,1.1715263042598962,1,5.51766191679053,3.755073620006442,3.9087221927475184
Setosa,5.315867693629116,2.661591927707195,4.526359595335089,0.930770350806415,2,2.7862494287546724,6.319022277137265,3.9856353136710823
Versicolor,6.139983380492777,4.21762971803546,5.120771641237662,0.3263331104069948,2,7.723354960791767,3.9261187280062586,3.936996500007808
Virginica,5.459608032461256,3.3133309120312333,2.0600914772599936,0.8779317121952772,1,7.560527717927471,3.288445964688435,4.768031630665064
Setosa,7.626171878539026,3.079041002877057,1.9485410010209308,0.5458555042743682,1,5.029305998468772,9.848428280558437,5.686088748741895
Versicolor,6.829358117282391,3.4471363307908183,2.169916585297324,0.20815417934209107,2,3.8367669549770653,9.242454862920567,8.207307484000921
Virginica,4.822464931663125,3.2381534710526467,6.45842607379891,0.9573114387691021,1,6.574406013125554,6.7866549079772085,7.426165355369449
Setosa,4.472546257823706,2.9601018566638233,5.112917670398019,1.950155553407967,2,5.636853053467348,5.331012305570766,8.644196536624804
Versicolor,6.6708577767014505,2.1501702878624203,3.8289798843441534,1.5567938769236207,1,4.9104406936094165,4.766226552193984,4.271279960172251
Virginica,5.123060701973737,4.3836081841960555,5.7252399833407255,0.5321499096229673,1,9.129377848934382,4.747315884800628,9.743013143306598
Setosa,5.527536119055003,3.6491871839389205,4.00871188279707,1.3673200912773609,2,6.161911446135491,7.752814965788275,4.026206776034087
Versicolor,7.399619832541793,3.3107390012592077,2.2861212820978833,1.090786936879158,1,6.861206934787333,4.72468912997283,5.102058040909469
Virginica,6.142542418278754,2.902388876490295,1.95942508794833,1.3411664484068753,1,5.023323794361204,9.063489763764665,7.984744801884517
Setosa,4.787293792888522,3.373357223160565,2.207061540032737,0.2969907820224762,1,6.988381561823189,9.922350847395137,6.842532953480259
Versicolor,7.79934752760455,3.854409101046622,3.5112158403266225,1.918753262795508,2,3.3764228981453925,8.533818407449871,1.8365279699210078
Virginica,6.410194331035019,3.9948537051677704,1.36694411507342,0.5080262865871191,2,5.757154299877584,8.86931961774826,4.695217847125605
Setosa,5.902816146146506,3.225257538072765,6.095591401145794,1.626608618721366,2,9.503990886500105,2.6649333140812814,6.665409092325717
Versicolor,7.220492100995035,3.163397327437997,6.590392142371275,1.5192817790433766,2,7.173825069563463,1.9971707672812045,8.049024829408154
Virginica,4.570045033283532,2.9736057464033365,1.063933584652841,2.0972599478438494,2,2.6936712306924164,1.5792342475615442,4.137856089975685
Setosa,5.935830566752702,4.086358401738107,4.334112150967121,1.5713577846065163,1,6.381652599433437,3.293232184369117,2.2104362109676003
Versicolor,5.033117142692208,2.557221435569227,5.474143732548692,1.1547204319387674,2,2.8078069251496345,2.864181499928236,6.426113757304847
Virginica,4.502807452064007,2.427888100780547,6.206195710739121,1.5166213490068914,1,4.254432152491063,9.302458785008639,9.162848070729524
Setosa,7.012412511464209,3.7876315988600258,1.4665451609529554,1.635346001200378,1,2.4759911098517478,5.269753220723942,4.4775176285766065
Versicolor,5.753375821467489,2.6459190534427766,6.854461240232922,0.4052748763933778,1,4.338980516651645,8.045859680278227,4.852018805453554
Virginica,7.010722765047103,3.4237747116014363,6.795277786557563,1.7642523456364871,2,1.7048510580789298,4.4215143281035125,3.608501364244148
Setosa,6.397490566875786,3.008667759224773,1.70825886358507,0.13338210619986057,1,5.209611726459116,6.60915086674504,9.303789022378623
Versicolor,5.573007499519735,2.1477080401033164,4.089607591088861,1.2916034922003747,2,3.4676201860420406,2.9283277795184404,3.72176151862368
Virginica,5.68584796404466,3.8404251210391527,2.404861131357029,1.5094340151175858,1,2.4948472320102155,5.218947859015316,7.093454285757616
Setosa,5.794468194805086,3.3796095322817568,6.048703461140395,1.0088159879669547,2,6.532192640705034,3.882272177375853,4.1855166223831475
Versicolor,6.595476704649627,2.125039260648191,1.5765143963042647,0.49658716861158614,2,5.354895926779136,8.328429071465507,4.798245732439682
Virginica,5.6239306290633975,4.098660773597658,3.312074766983278,2.3441455658525228,1,4.918337546521798,1.3910034133587033,8.487543640425429
Setosa,7.035727373603732,3.2456377729773522,6.049889499298297,1.769575727544725,1,4.075946550583467,4.86339888186194,9.814375864341855
Versicolor,5.2045814326033,2.668736255168915,3.6373203921597455,2.475281365774572,1,5.267401723889634,3.271181241143495,5.610829488374293
Virginica,7.2098139737732705,2.703259323909879,1.2495483482489362,0.41886175982654095,2,3.8194542869459838,8.173936397070065,2.377416443778202
Setosa,5.492541380785406,3.0366405203938482,2.3760126508306714,1.8911687340587378,2,4.425742807565257,5.590910576516762,9.11085681640543
Versicolor,5.009258191101253,2.5034816920757295,5.244901033863425,1.7878286493942142,1,6.320169835118577,4.1960298989433795,2.074022530578077
Virginica,6.586768075730651,2.557137460075319,2.8168087903875856,1.853327789530158,1,7.193598547019064,3.477076661773026,8.045018013566732
Setosa,7.672919260431081,4.056146269850434,6.479097420373001,2.387570363841951,2,8.483700001379475,9.38919625710696,6.611743827350438
Versicolor,5.906127890571952,2.50770532079041,2.6995093776844445,1.2856409270316362,2,2.183059900999069,6.371341031277552,1.6245815821457654
Virginica,6.60552364019677,3.5460878470912576,3.5628064760472626,0.5834678016602993,2,7.281323526753113,8.34404742368497,6.687003091908991
Setosa,4.668838715553283,2.927038363926113,2.1823338651796806,0.24437906723469496,2,6.532679910073057,8.435541104059666,3.9426493435166776
Versicolor,7.318623854313046,4.0989994958043106,6.069553428655491,1.0415776712819933,1,7.331302696838975,1.6286848695017397,2.0747434245422482
Virginica,4.959028620459139,4.197831709124149,3.0799759685061874,1.7296091116964818,2,8.620293779531494,4.528171363752335,6.639628036646172
Setosa,5.404509900417179,3.637491436116398,2.0640357980970294,1.019851437397301,1,3.5359471011906862,6.4240444644819945,4.6811949335969985
Versicolor,5.83031217828393,2.8822363572195173,4.514952952624299,0.8372325878590345,1,1.9730147279333323,8.936490563675761,1.6205544150434434
Virginica,6.203498737048358,2.1975327922031282,4.592211717995815,2.264563690125942,1,1.583127976860851,3.2534934473223984,4.6573652604129165
Setosa,5.305311899445951,3.3382893580943347,5.725516922795214,1.820592449977994,2,8.158642510417849,5.262267575599253,2.1715806771535426
Versicolor,5.224072785675526,3.993339683674276,2.749849852267653,2.3642803909257055,1,9.371934444177896,8.013609752524644,7.712618415476754
Virginica,7.886543009523303,2.4619376987218855,1.8958915675524621,0.9414370914921164,1,3.5657296690624207,3.470527805387974,5.2021045377478
Setosa,6.4652243047952656,3.477927573956549,4.667465697554872,1.5739233376458288,2,6.983948716893792,1.1718314185272902,5.561507270904258
Versicolor,7.3293196329846975,2.102371553517878,3.049841183400713,0.9026870641857385,2,1.7448176152538508,6.012104341527447,4.226143675623462
Virginica,6.829861808475107,3.4969922909513116,1.0503768762806431,0.4391033066436648,2,3.867903439095244,4.176075062248856,4.826255601132289
Setosa,6.2830681974999605,3.2824577122926715,3.647965661203489,0.3186284236609936,1,6.302541923709214,5.179463632171974,9.327270270325243
Versicolor,6.022127948701382,2.5960165636613963,4.371368196886033,0.14126928262412547,1,1.4289706330746412,2.201209106016904,3.297393914544955
Virginica,4.947489166352898,4.340408616885544,4.774045128375292,0.4720278285443783,2,4.875704299425706,5.083403786411509,9.979070341680199
Setosa,6.881904968153686,3.8638327267020944,3.070263104373589,0.19319991301745176,2,3.321313316002488,7.862060968065634,7.945147306192666
Versicolor,4.950589965097606,2.8968584733083844,2.4129021741449836,1.2449073195457458,2,2.4596856196876615,3.09070186316967,7.052272147266194
Virginica,7.005827742815018,3.5498633099719887,1.1536959010642023,0.9160437090322375,2,5.51892977184616,2.918965751072392,6.646785060875118
Setosa,7.617044636420906,3.8923151556402447,3.7212648713961247,2.1676785197108983,2,2.140071196248755,2.5428500960115343,9.623162577161565
Versicolor,5.365264534763992,3.0817986389622094,4.836040851171129,1.6025995019823314,2,4.580159286269918,1.0444598502945155,9.615500373532996
Virginica,5.338008331600577,4.206817442364991,6.570266291010194,0.8613404791802167,2,4.101422714535147,7.8987129183951765,1.6821162542328238
Setosa,6.4759267378598455,3.916328263282776,4.918221215601079,1.3470195783302188,1,4.442430038936436,7.8936662373598665,6.418128833640367
Versicolor,6.138434565719217,2.0656453713774683,2.6118621854810042,1.9378478344529868,2,9.18326197587885,4.081103973323479,1.7998535791411996
Virginica,6.9945517922751606,2.8533934248611335,6.401136408164167,0.34927655532956126,2,4.328739105025306,4.262868167134002,3.955598461907357
Setosa,5.062563324254006,3.5012785676866773,6.711589770391583,1.7500688266009092,2,6.721468819770962,1.4243743263650686,8.512853023363277
Versicolor,4.442551781609654,2.6345837213099004,6.763452978571877,1.5412239100784064,1,2.2078609550371766,4.468086851760745,8.863602979574353
Virginica,6.802717142459006,4.075174972601236,5.908765488141217,1.8083743670955301,1,7.349235581699759,8.56219078716822,1.8012722183484584
Setosa,4.498897380568087,2.345944062806666,5.445361144328491,2.458839540742338,1,7.051680801901966,8.73445539502427,8.090786987217143
Versicolor,6.364058832265437,2.5803337579593064,1.89974544942379,0.5301409685984254,1,2.7084287928882986,3.462605888489634,2.617341456701979
Virginica,5.741441315691918,4.2431833066046245,2.912389332731254,0.9586975172162056,1,3.0162494762334973,9.344049509847537,4.902109167771414
Setosa,6.681935185939073,2.7026151573285464,2.4732780523132534,0.521996745467186,1,8.152204049983993,7.160289421211928,1.0078237899579108
Versicolor,5.731326126307249,2.096439057588577,5.123610806046054,1.5653229422867299,2,9.566184983123094,6.087106658844277,5.753688341006637
Virginica,6.3879108796827495,4.030850801989436,5.451313067064621,2.14464739728719,1,4.203307964140549,1.9829445590730757,2.0579117708839476
Setosa,7.859026324469596,3.0424195213243364,1.4652651932556182,1.409052530489862,2,5.245812499895692,8.27703895047307,7.837493572151288
Versicolor,6.817917087674141,3.277214480377734,3.0951898751780393,2.2067094815894963,2,6.5749807874672115,4.429971639066935,5.731290068477392
Virginica,7.699057737644762,2.856091610901058,3.3352185661904517,1.7460761131718756,1,2.3975994589272887,7.782363389385864,9.429222191683948
Setosa,7.3863439842127265,3.792057118006051,4.625523267243989,0.8615832984447479,1,9.468944946536794,3.79512792523019,9.128629925427958
Versicolor,5.061441041063517,3.740806103497744,5.962423720769585,0.3517678463831544,2,4.811460844241083,5.7433839393779635,8.53514194348827
Virginica,5.222154608089477,3.8831430809572343,6.36277124171611,1.2316446771845222,2,2.022967983270064,5.529078814899549,5.0259195901453495
Setosa,5.97013724213466,4.341159470565618,2.458198956516571,2.010349649004638,1,6.009878627723083,3.473915841896087,5.809691727394238
Versicolor,6.6274801135063175,3.033425909094513,3.330385629902594,2.361485833115876,2,3.3449649596586823,6.915627216454595,1.6018854754511267
Virginica,6.075212434120476,4.267775348387659,5.817794433166274,0.6402696002274751,2,4.884590189671144,9.63583161844872,4.045461313100532
Setosa,6.044170776568353,3.470763626135886,2.624473286303692,1.630441210977733,2,6.811375904362649,9.724081324180588,4.659270791802555
Versicolor,5.321336007025093,4.134342307411135,1.6039814352290707,0.7071467028930782,2,8.843213815707713,2.664747705217451,2.887000378454104
Virginica,4.393559801485389,2.4506630448624493,1.589535302296281,0.6567214913666248,1,6.720994005911052,4.311691917013377,5.753517226548865
Setosa,6.9796117908321325,2.143590806797147,2.8694233716931192,1.4672334952279926,2,7.654239425901324,4.4792815749533474,5.474819723516703
Versicolor,7.694636001251638,2.96738167591393,2.1476799726020546,0.292141586728394,2,8.569512253860012,9.238109960919246,2.603163702180609
Virginica,6.30550274187699,3.0890687407925728,4.168659325852059,1.627418752014637,2,8.77197924349457,6.673191058682278,3.489709419896826
Setosa,7.898390104621649,3.702638018317521,3.3115327211329717,1.7357072105631233,2,7.081507542403415,9.7102486777585,5.619579828577116
Versicolor,6.225115906726569,2.7484272085130215,5.442417318630032,2.4623002491891386,2,1.7329739881679416,8.016932592494413,7.995112013304606
Virginica,6.604209544695914,3.3409183431416754,5.037243025191128,2.2203588683158157,2,4.970038592116907,1.509295033523813,8.260409474605694
Setosa,6.58874212037772,3.1618687041103843,4.902506494708359,0.4365956407040358,1,9.608215451939031,7.173444556305185,1.0271990892942995
Versicolor,7.5264025486074395,2.674616671539843,2.725360029586591,2.1081964019685984,2,8.853410430252552,4.904878058237955,5.280832766089588
Virginica,6.601213378924877,2.9683984907343985,3.94297522243578,1.3485334545373917,1,4.406160691054538,4.333353761816397,5.888986828038469
Setosa,5.504119985084981,4.087150527909398,2.8353597088949756,1.3992715384811163,2,8.151522680884227,2.8076843335293233,6.883303913520649
Versicolor,5.924642509687692,4.03066200632602,4.094749189703725,1.0812369367107748,2,6.950790595263243,2.2381974975578487,2.0625192674342543
Virginica,7.1093272845260795,4.369744871743023,4.565112579497509,0.38579962048679595,2,1.47999745933339,6.577437804080546,3.5654030200093985
Setosa,7.207227227091789,3.923007233068347,4.206182963191532,0.9201048713177442,1,7.501160983927548,2.5435588194523007,4.6370523509103805
Versicolor,6.00387747772038,4.237714610993862,2.1371238004183395,0.865680979564786,1,5.01717052818276,4.5918657497968525,9.225126654841006
Virginica,5.816857407335192,3.7735127249732616,1.9788810211466625,0.10516273714601994,1,7.766309957718477,7.107262060977519,7.0329545782878995
Setosa,7.312525855470449,2.382394566945732,1.5506756997201592,2.0058080326765775,2,2.235385855194181,5.492157325614244,1.168868304695934
Versicolor,4.37739494163543,2.3993596345186234,6.613421142776497,2.088629313930869,1,7.627114262897521,4.5639943208079785,3.452276957221329
Virginica,6.13911854159087,3.3741093078628186,4.145639743539505,0.13162945695221423,2,6.415767741622403,2.891382890054956,2.886979124043137
Setosa,6.297452192939818,3.0489171838387845,6.20611870107241,1.4782007779926063,1,1.0393502316437662,8.232616357738152,4.112007641699165
Versicolor,4.9024963053874675,2.6103959627449513,1.6223088828381151,2.4783744199201463,1,6.898929191287607,7.98058237391524,4.037107629701495
Virginica,6.8190757910721,4.021480075083673,3.149069225555286,2.443074092268944,2,9.164778804406524,2.7197769719641656,7.989949437789619
Setosa,6.989664867799729,3.0828728888183834,5.38073631618172,1.2302707312628627,2,9.744746862445027,4.280506438575685,3.0881119975820184
Versicolor,6.171587893739343,3.58046521153301,3.063775641634129,1.5077792452648282,2,2.613870950648561,4.109462407650426,5.130439565284178
Virginica,5.62990178540349,2.1375448439270257,1.1434467784827576,2.2514838671311734,2,4.795811005402356,1.4684742074459791,8.350895516108721
Setosa,7.25364886643365,3.2671407034620645,3.2833861055551097,0.3149561509490013,1,7.393635771702975,3.502721890807152,4.420840372797102
Versicolor,5.823479752056301,3.4125115884467965,6.145730062597432,1.7295839224010707,2,7.592671050922945,7.173237443668768,7.504924127366394
Virginica,6.784895518980921,2.724217828549445,2.370910966466181,2.0074071779847142,1,5.441892171278596,8.750811977079138,4.838670389959589
Setosa,4.734528980683535,2.738540392741561,3.3983500071102757,1.110006916895509,1,1.7544892334844917,3.6971512513700873,2.4450874330941588
Versicolor,5.973417425341904,2.6234030386433007,2.3090492468094457,2.2155344426631927,1,4.234947213670239,6.882100282702595,2.2760440157726407
Virginica,5.9199282775633035,2.448804043792188,6.856963973352686,1.6033898539841176,1,3.4190205368213356,3.8230657305102795,8.514467964647338
Setosa,7.0694926082156595,3.6238719493150713,4.584621474356391,1.400340508297086,1,9.967012137873098,3.9505596368107945,4.319974521873519
Versicolor,4.634156119357795,4.027400204911828,4.77067595270928,1.2967644328251482,1,5.317871855571866,3.6385476121213287,2.0289677726104856
Virginica,4.533882736135274,3.0938288459554317,5.356213203235529,1.281409834511578,2,8.460028964094818,8.773089734604582,2.6779597639106214
Setosa,5.041624179296195,2.2242520157247783,4.214059411897324,1.1789295665919781,1,3.306653377832845,6.6291774357669055,4.619869288057089
Versicolor,5.083289477508515,2.182308386079967,4.073380306712352,0.3936609152704478,1,1.69881163071841,5.419781781500205,6.061645490117371
Virginica,5.408309731446207,2.3780111093074083,5.578201194317081,1.9991738798096776,1,6.6951750493608415,8.050817192532122,2.228185777319595
Setosa,5.345974258519709,3.322717665694654,3.0248435612302274,2.3169391520321367,1,3.117074616253376,4.082687534857541,5.335431605344638
Versicolor,5.184361734054983,2.556689763069153,3.3204548858338967,0.90939025208354,1,7.862860716879368,7.036847437964752,5.862319027772173
Virginica,5.2046491843648255,2.4020584279671313,3.251308058574796,0.5865090411156416,2,2.6999049820005894,3.5141330410260707,5.283338862936944
